compound_id,mp_id,formula,family,bond_type,is_metal,theoretical,energy_above_hull_eV_per_atom,formation_energy_per_atom,delta_icohp_antibond,delta_icobi_antibond
exp_metastable_AgO_mp-1079720,mp-1079720,AgO,exp_metastable,,False,False,0.04234811749999956,-0.40022364833333235,0.008532939025000002,0.002081598925
exp_metastable_Al12W_mp-11227,mp-11227,Al12W,exp_metastable,metallic,True,False,0.01520368538461625,-0.0721041215384599,0.0,5.006076923076925e-07
exp_metastable_Al3Os2_mp-16521,mp-16521,Al3Os2,exp_metastable,metallic,True,False,0.007409683000005884,-0.5958528140000027,0.00489957004,0.00041161232
exp_metastable_AsPd2_mp-1080831,mp-1080831,AsPd2,exp_metastable,,True,False,0.011756747500001552,-0.35935601750000185,0.02555586258333333,0.0020353268833334334
exp_metastable_AsRh2_mp-1102364,mp-1102364,AsRh2,exp_metastable,,True,False,0.08062063166666178,-0.44921435583333863,8.304171666669719e-05,0.0026046652666667663
exp_metastable_AsRh_mp-22079,mp-22079,AsRh,exp_metastable,,True,False,0.026917590833335225,-0.5242963187500003,0.008329362224999949,0.0018245354000000998
exp_metastable_BaSn5_mp-571353,mp-571353,BaSn5,exp_metastable,metallic,True,False,0.026217794166670583,-0.2692301474999965,0.015444104916666649,0.00031122107499999995
exp_metastable_Be12Pd_mp-12666,mp-12666,Be12Pd,exp_metastable,metallic,True,False,0.07945158115384565,-0.06609085384615444,0.0031564711,0.00033024308461538466
exp_metastable_CaGa2_mp-992,mp-992,CaGa2,exp_metastable,metallic,True,False,0.016981658333333982,-0.5780275900000001,0.01598638275,0.0019372518333333332
exp_metastable_CaGa4_mp-2461,mp-2461,CaGa4,exp_metastable,metallic,True,False,0.0016006820000011857,-0.4217521700000006,0.010633267120000001,0.0011568445000000001
exp_metastable_CdI2_mp-567259,mp-567259,CdI2,exp_metastable,,False,False,0.0005410511111105798,-0.8265425073333326,0.02143741246666667,0.0024453650666666
exp_metastable_CdO2_mp-2310,mp-2310,CdO2,exp_metastable,,False,False,0.05623419000000052,-0.841200041666666,0.007898188033333331,0.002874932833333333
exp_metastable_ClF3_mp-556767,mp-556767,ClF3,exp_metastable,,False,False,0.0029946146875001745,-0.9563266143749998,0.03222744548749998,2.190125000000001e-06
exp_metastable_Cs2Se_mp-1011696,mp-1011696,Cs2Se,exp_metastable,,False,False,0.004232759166664213,-1.1927918180513661,-0.0035950317333333336,0.0025701232333333332
exp_metastable_CsH_mp-632319,mp-632319,CsH,exp_metastable,,False,False,0.016097849999999525,-0.23149970437499867,-0.0046575562749999,0.001922085825
exp_metastable_Cu3Ge_mp-19724,mp-19724,Cu3Ge,exp_metastable,metallic,True,False,0.01263984624999992,0.01263984624999992,-0.004230034812499975,-5.8264799999975156e-05
exp_metastable_FeTe2_mp-1102002,mp-1102002,FeTe2,exp_metastable,,True,False,0.04490969833333569,-0.4170853777777766,0.012143041066666629,0.0015599605999999998
exp_metastable_Ge4Rh_mp-1104286,mp-1104286,Ge4Rh,exp_metastable,metallic,True,False,0.09073754899999997,-0.1339630540000011,0.006397161729999979,0.00101697281
exp_metastable_GeSe2_mp-10074,mp-10074,GeSe2,exp_metastable,covalent,False,False,0.012493755416668861,-0.566828659895832,0.007287353733333432,0.0
exp_metastable_H2O_mp-2739191,mp-2739191,H2O,exp_metastable,,False,False,0.049447999166666534,-1.230554994166667,0.009030640866666665,0.0014374664166666665
exp_metastable_HI_mp-697025,mp-697025,HI,exp_metastable,,False,False,0.004366291041667303,-0.17565745749999984,0.024517219450000002,0.00183402379999995
exp_metastable_IF7_mp-27988,mp-27988,IF7,exp_metastable,,False,False,0.006252095624999399,-1.685239713125,0.0356946098875,0.0004585059499999875
exp_metastable_In3Ir_mp-630976,mp-630976,In3Ir,exp_metastable,metallic,True,False,0.004296428125002194,-0.2710954262499996,0.0047396702,0.0006611980875
exp_metastable_InCl_mp-571636,mp-571636,InCl,exp_metastable,covalent,False,False,0.0016458790624991337,-1.1152362308333328,0.011915458174999956,-3.266440000000001e-05
exp_metastable_K2S_mp-559278,mp-559278,K2S,exp_metastable,,False,False,0.0872531616666663,-1.160633495104167,0.014303258633333331,0.0014118491166666667
exp_metastable_Li13Sn5_mp-30769,mp-30769,Li13Sn5,exp_metastable,metallic,True,False,0.0033475494444448195,-0.39301188268518394,0.0020363615,1.2028305555555556e-05
exp_metastable_Li3Hg_mp-1646,mp-1646,Li3Hg,exp_metastable,metallic,True,False,0.0012975900000000706,-0.2939551318750002,0.0,0.0
exp_metastable_MgCl2_mp-570259,mp-570259,MgCl2,exp_metastable,ionic,False,False,0.0006391266666669893,-2.2548148149999996,0.023657120733333228,-3.646196666666668e-05
exp_metastable_MgH2_mp-23711,mp-23711,MgH2,exp_metastable,,False,False,0.0018755891666670799,-0.2808434833333333,-0.0011850611500000335,0.0
exp_metastable_MgPd3_mp-7753,mp-7753,MgPd3,exp_metastable,metallic,True,False,0.01137175124999068,-0.47724602249999126,0.025614657850000076,0.002100468825
exp_metastable_Mo3Se4_mp-21021,mp-21021,Mo3Se4,exp_metastable,,True,False,0.06087143499999925,-0.5819315730357175,0.007849630699999999,-2.4349735714285714e-05
exp_metastable_Nb2O5_mp-1595,mp-1595,Nb2O5,exp_metastable,,False,False,0.007537548265307947,-3.0266677264285726,0.01942161777857143,0.0030802851785714284
exp_metastable_NiB_mp-14019,mp-14019,NiB,exp_metastable,,True,False,0.0018463106250017347,-0.24070358374999934,0.012914306275,0.0022126355500001
exp_metastable_NiHg4_mp-570835,mp-570835,NiHg4,exp_metastable,metallic,True,False,0.01705295800000073,0.017052957999993623,0.00638364347,0.00095894765
exp_metastable_NiS_mp-1547,mp-1547,NiS,exp_metastable,,True,False,0.014181840833332515,-0.6106647137499989,0.017234350175000093,0.0014566919500001
exp_metastable_PS_mp-612,mp-612,PS,exp_metastable,covalent,False,False,0.026489451484373205,-0.15083367289434513,0.008479340874999998,0.0
exp_metastable_PbAu2_mp-19871,mp-19871,PbAu2,exp_metastable,metallic,True,False,0.004742635416668861,-0.06558400666666368,0.0052437857333333,0.0
exp_metastable_PbSe_mp-22009,mp-22009,PbSe,exp_metastable,covalent,False,False,0.07310882999999535,-0.5994639245312499,-0.006369630324999948,0.0
exp_metastable_Rb2Hg7_mp-31474,mp-31474,Rb2Hg7,exp_metastable,metallic,True,False,0.00452349037037425,-0.21101027361111335,0.0021975971777777777,0.00032396119999999996
exp_metastable_Re3Ge7_mp-29141,mp-29141,Re3Ge7,exp_metastable,metallic,True,False,0.012616640750003683,0.012616640750002262,0.00166812447499997,6.227979999997e-05
exp_metastable_SiO2_mp-546794,mp-546794,SiO2,exp_metastable,covalent,False,False,0.005647450555557043,-3.2671838933333333,0.01792111863333333,0.002874932833333333
exp_metastable_SiRh_mp-2287,mp-2287,SiRh,exp_metastable,metallic,True,False,0.02456185499999819,-0.8163077637500002,0.011936954249999951,0.0026085105499999996
exp_metastable_SiS2_mp-1095294,mp-1095294,SiS2,exp_metastable,covalent,False,False,0.003013171666665926,-0.7467867135416668,0.01920394568333333,0.0
exp_metastable_Sn7Ir5_mp-20466,mp-20466,Sn7Ir5,exp_metastable,metallic,True,False,0.002421364999996456,-0.29034646416666493,0.012164545483333334,0.0011272562541666668
exp_metastable_Sr2As_mp-15697,mp-15697,Sr2As,exp_metastable,,True,False,0.08000544425926037,-1.0304650837962963,0.036701365900000005,0.0026009111833334335
exp_metastable_Sr5Sn3_mp-17720,mp-17720,Sr5Sn3,exp_metastable,metallic,True,False,0.003021452500000521,-0.7373520218750009,0.021103127387499997,0.00320226449375
exp_metastable_SrAl2_mp-1638,mp-1638,SrAl2,exp_metastable,metallic,True,False,0.013571949999999333,-0.27150349333333307,0.028444267766666666,0.0016992140166666666
exp_metastable_Ta7Co6_mp-1104548,mp-1104548,Ta7Co6,exp_metastable,metallic,True,False,0.0014632612820477675,-0.23498456394871864,0.002101107526923077,0.0008412828692307232
exp_metastable_Te2Au_mp-567525,mp-567525,Te2Au,exp_metastable,,True,False,0.027432493333336083,-0.0634716500000015,-0.006291759016666568,-0.0022547310333332336
exp_metastable_Te2Ir_mp-1551,mp-1551,Te2Ir,exp_metastable,,True,False,0.0030421406944398655,-0.3634775388888948,0.009004862633333329,0.0008856904166666664
exp_metastable_Ti3Ge_mp-1189044,mp-1189044,Ti3Ge,exp_metastable,metallic,True,False,0.013003969652777059,-0.4815656843750009,0.00013548125,0.0
exp_metastable_Y2O3_mp-558573,mp-558573,Y2O3,exp_metastable,,False,False,0.03422779625000061,-3.9196441264999975,0.01800658591,0.0025874395499999995
exp_metastable_ZnAg_mp-1912,mp-1912,ZnAg,exp_metastable,metallic,True,False,0.011211470555556602,-0.024371359999998177,0.0,0.0
exp_metastable_ZrBr_mp-1065846,mp-1065846,ZrBr,exp_metastable,,True,False,0.0007946975000017176,-1.2701712349999985,0.029717880925,0.000168962675
exp_metastable_ZrGa3_mp-30685,mp-30685,ZrGa3,exp_metastable,metallic,True,False,0.013019501250001397,-0.5133076262499987,0.0,0.0
exp_metastable_ZrRh_mp-2808,mp-2808,ZrRh,exp_metastable,metallic,True,False,0.08393397999999763,-0.8013510275000009,0.01553366079999995,0.0025118833999999996
exp_stable_As2S3_mp-1189572,mp-1189572,As2S3,exp_stable,covalent,False,False,0.0,-0.15650999518749842,0.002628336070000001,0.0
exp_stable_AsF3_mp-28027,mp-28027,AsF3,exp_stable,covalent,False,False,0.0,-2.4719516212500006,0.012191609537500002,0.0
exp_stable_BI3_mp-23189,mp-23189,BI3,exp_stable,covalent,False,False,0.0,-0.3473448510416679,0.039156197075,0.002751035699999925
exp_stable_BW_mp-7832,mp-7832,BW,exp_stable,,True,False,0.0,-0.35971011500000216,0.0,3.2539500000000013e-06
exp_stable_BaAu2_mp-30363,mp-30363,BaAu2,exp_stable,metallic,True,False,0.0,-0.7404507499999978,0.044690160766666626,0.0010563895166667667
exp_stable_BaCl2_mp-568662,mp-568662,BaCl2,exp_stable,ionic,False,False,0.0,-2.96823858,0.06754541806666656,0.0012039112499999999
exp_stable_BaH2_mp-23715,mp-23715,BaH2,exp_stable,,False,False,0.0,-0.6047468716666676,0.0428026779333333,0.0013011945166666666
exp_stable_Be2Cu_mp-2031,mp-2031,Be2Cu,exp_stable,metallic,True,False,0.0,-0.1403742000000007,0.002693017016666633,0.0003791380999999666
exp_stable_Be2Nb3_mp-11272,mp-11272,Be2Nb3,exp_stable,metallic,True,False,0.0,-0.13487592800000242,0.0,0.0
exp_stable_Be2V_mp-11281,mp-11281,Be2V,exp_stable,metallic,True,False,0.0,-0.21818012416666596,0.0,0.0
exp_stable_CaAl4_mp-1749,mp-1749,CaAl4,exp_stable,metallic,True,False,0.0,-0.22058213399999999,0.010747393220000002,0.0011495858000000001
exp_stable_CaSn_mp-2450,mp-2450,CaSn,exp_stable,metallic,True,False,0.0,-0.6481111449999988,0.025592251300000105,0.0014774528000000998
exp_stable_CdPd_mp-1696,mp-1696,CdPd,exp_stable,metallic,True,False,0.0,-0.3915251949999985,0.02051706215,0.0021300586
exp_stable_CoB_mp-20857,mp-20857,CoB,exp_stable,,True,False,0.0,-0.2975242550000008,0.0006166343749999998,0.00091138977499995
exp_stable_Cs2As3_mp-15557,mp-15557,Cs2As3,exp_stable,,False,False,0.0,-0.432719623362069,-0.004305424319999999,0.00154207394
exp_stable_FeS_mp-505531,mp-505531,FeS,exp_stable,,True,False,0.0,-0.7574410312499991,0.00647074362499995,0.0013694666
exp_stable_Ge2Os_mp-10032,mp-10032,Ge2Os,exp_stable,metallic,True,False,0.0,-0.0834786366666691,0.0031941881499999995,0.00032498866666666665
exp_stable_HfTc2_mp-1095669,mp-1095669,HfTc2,exp_stable,metallic,True,False,0.0,-0.40995929166666656,0.001683070416666666,-6.658263333333334e-05
exp_stable_Hg4Pt_mp-936,mp-936,Hg4Pt,exp_stable,metallic,True,False,0.0,-0.12306363999999803,0.00854777926999998,0.00106187666
exp_stable_HgF2_mp-8177,mp-8177,HgF2,exp_stable,,False,False,0.0,-1.7027978508333355,-0.004061625449999998,0.0
exp_stable_InBr_mp-22870,mp-22870,InBr,exp_stable,covalent,False,False,0.0,-0.9348113258333335,0.0016702753749999986,2.9540825000000002e-05
exp_stable_KI_mp-22898,mp-22898,KI,exp_stable,ionic,False,False,0.0,-1.6699892911249994,0.030469999700000007,0.00290661459999995
exp_stable_Li2Se_mp-2286,mp-2286,Li2Se,exp_stable,,False,False,0.0,-1.4516769874652777,0.006949459383333333,0.0
exp_stable_LiB_mp-1001835,mp-1001835,LiB,exp_stable,,True,False,0.0,-0.22468806208333358,0.0,0.0
exp_stable_Mg2Ni_mp-2137,mp-2137,Mg2Ni,exp_stable,metallic,True,False,0.0,-0.153033664444444,-0.0054570846166667325,-0.0015105735666665666
exp_stable_MgP4_mp-384,mp-384,MgP4,exp_stable,,False,False,0.0,-0.2983330857142853,0.00058206165999998,0.0
exp_stable_MnAl12_mp-1104165,mp-1104165,MnAl12,exp_stable,metallic,True,False,0.0,-0.09883573907161856,0.0004566473307692308,2.0333315384615386e-05
exp_stable_MoSe2_mp-1634,mp-1634,MoSe2,exp_stable,covalent,False,False,0.0,-0.7499368427083345,0.014204615283333432,1.4351216666666666e-05
exp_stable_NaS_mp-2400,mp-2400,NaS,exp_stable,,False,False,0.0,-1.00427061140625,0.004886743575,0.001595181125
exp_stable_Nb3Ir_mp-1458,mp-1458,Nb3Ir,exp_stable,metallic,True,False,0.0,-0.402662928749999,0.0047329118,0.0006406734874999999
exp_stable_NbGa3_mp-1973,mp-1973,NbGa3,exp_stable,metallic,True,False,0.0,-0.351950454999999,0.0,0.0
exp_stable_PI2_mp-29443,mp-29443,PI2,exp_stable,covalent,False,False,0.0,-0.3134069832142856,0.01511131378333333,0.0024453650666666
exp_stable_PbSe_mp-2201,mp-2201,PbSe,exp_stable,covalent,False,False,0.0,-0.6725727545312452,-0.0025900310250000502,-0.0002412968
exp_stable_RbI_mp-22903,mp-22903,RbI,exp_stable,ionic,False,False,0.0,-1.6958504512500008,0.032505269100000005,0.00253440229999995
exp_stable_Sc5Ge3_mp-17190,mp-17190,Sc5Ge3,exp_stable,metallic,True,False,0.0,-0.9092670950000006,0.00020322187499999998,0.0
exp_stable_ScAg2_mp-1018128,mp-1018128,ScAg2,exp_stable,metallic,True,False,0.0,-0.2906822483333329,0.0,0.0
exp_stable_ScTe_mp-10026,mp-10026,ScTe,exp_stable,,True,False,0.0,-1.3886115333333322,0.01282168235,0.0004125206
exp_stable_SnPt_mp-19856,mp-19856,SnPt,exp_stable,metallic,True,False,0.0,-0.617788777499996,0.02503489887499995,0.0027614507249999996
exp_stable_SrO2_mp-2697,mp-2697,SrO2,exp_stable,ionic,False,False,0.0,-2.2044791333333316,0.02582448795,0.0045741468499999995
exp_stable_SrSi_mp-2661,mp-2661,SrSi,exp_stable,metallic,True,False,0.0,-0.5268471175000009,0.03118472335,0.002005134975
exp_stable_Ta5Ge3_mp-17593,mp-17593,Ta5Ge3,exp_stable,metallic,True,False,0.0,-0.40993436708333064,0.00020322187499999998,0.0
exp_stable_TaP_mp-1067587,mp-1067587,TaP,exp_stable,,True,False,0.0,-0.9955650676547627,0.004505014975,0.0
exp_stable_TaSb2_mp-11697,mp-11697,TaSb2,exp_stable,metallic,True,False,0.0,-0.1680856907777771,0.007831493033333265,0.0003127308999999333
exp_stable_Te2Pd_mp-782,mp-782,Te2Pd,exp_stable,,True,False,0.0,-0.34445980000000515,0.015417010099999998,2.8155033333333466e-05
exp_stable_Te2Ru_mp-267,mp-267,Te2Ru,exp_stable,covalent,False,False,0.0,-0.40611876333333896,0.008447144099999998,0.0009230773333333333
exp_stable_TeO2_mp-8377,mp-8377,TeO2,exp_stable,covalent,False,False,0.0,-1.4950600038888868,0.010648277816666666,0.0031499465666666665
exp_stable_Ti3In_mp-866046,mp-866046,Ti3In,exp_stable,metallic,True,False,0.0,-0.12506459416666527,2.2528e-06,0.0
exp_stable_Ti3Pt_mp-2339,mp-2339,Ti3Pt,exp_stable,metallic,True,False,0.0,-0.6843641187500005,0.010684724087499976,0.0013711513875
exp_stable_TiBe12_mp-1104067,mp-1104067,TiBe12,exp_stable,metallic,True,False,0.0,-0.14771482794871815,0.0,0.0
exp_stable_TiNi_mp-1048,mp-1048,TiNi,exp_stable,metallic,True,False,0.0,-0.3958550266666663,0.015098520125,0.00245869325
exp_stable_TiO_mp-1071163,mp-1071163,TiO,exp_stable,,True,False,0.0,-2.9079562791666667,0.014789507675,0.002156199625
exp_stable_TiSi2_mp-1077503,mp-1077503,TiSi2,exp_stable,metallic,True,False,0.0,-0.5380357655555557,2.0023999999999997e-06,0.0
exp_stable_TlCl_mp-571079,mp-571079,TlCl,exp_stable,,False,False,0.0,-1.3258213141666677,0.006992904174999953,4.380250000000002e-06
exp_stable_VNi2_mp-11531,mp-11531,VNi2,exp_stable,metallic,True,False,0.0,-0.21683060000000154,0.011079274416666667,0.0032472186666666664
exp_stable_WO2_mp-1524394,mp-1524394,WO2,exp_stable,,True,False,0.0,-2.0675175558333336,0.018831740083333333,0.002877102133333333
exp_stable_Zr2Au_mp-2348,mp-2348,Zr2Au,exp_stable,metallic,True,False,0.0,-0.468447070000001,1.4183666666666666e-06,0.0
exp_stable_Zr5Pb3_mp-681992,mp-681992,Zr5Pb3,exp_stable,metallic,True,False,0.0,-0.37525825500000565,0.005896067624999963,0.0
exp_stable_ZrMo2_mp-2049,mp-2049,ZrMo2,exp_stable,metallic,True,False,0.0,-0.1390927483333352,0.0027203125333333327,2.870243333333333e-05
extension_Ag3As_mp-1183193,mp-1183193,Ag3As,extension,,True,True,0.08839697750000042,0.08839697750000042,0.0006287304875,0.0
extension_Ag3Pt_mp-12065,mp-12065,Ag3Pt,extension,metallic,True,False,0.020805422500000503,-0.020391218749995943,0.009796659687500075,0.0012680229875
