element,compound_id,mp_id,spacegroup,nsites,campaign_energy_per_atom_eV,mp_energy_per_atom_eV,icohp_mean,icobi_mean,antibond_w_raw,antibond_w_normalized,mp_vs_campaign_diff_meV_per_atom
Ag,extension_Ag_mp-124,mp-124,Fm-3m,1,-2.7138966,-21.35375043,-1.2495533333333333,0.1544716666666666,0.0,0.0,18639.85383
Al,extension_Al_mp-134,mp-134,Fm-3m,1,-3.7529937,-6.73209833,-1.4193316666666669,0.22704,0.0,0.0,2979.1046300000003
As,extension_As_mp-158,mp-158,Cmce,4,-4.64736125,-14.7075309875,-3.968256666666667,0.8847766666666667,0.00251492195,0.0102834557981681,10060.1697375
Au,extension_Au_mp-81,mp-81,Fm-3m,1,-3.2282125,-50.58496015,-1.338088333333333,0.1962166666666666,4.2551e-06,9.083553923661516e-06,47356.747650000005
B,extension_B_mp-160,mp-160,R-3m,12,-6.7055315,-7.346354197499999,-4.796036153846154,0.5202615384615384,0.0,0.0,640.8226974999991
Ba,extension_Ba_mp-122,mp-122,Im-3m,2,-1.900444,-1.91897494,-0.0122083333333333,0.0001533333333333,0.1516982985999999,8.239994492123845,18.530939999999994
Be,extension_Be_mp-87,mp-87,P6_3/mmc,4,-3.76684975,-3.739412865,-1.897523214285714,0.2032703571428571,0.0,0.0,-27.43688500000019
Br,extension_Br_mp-23154,mp-23154,Cmce,4,-1.624910675,-1.636946535,-3.53622,0.78268,0.05943576185,0.4256661308458067,12.03586000000012
C,extension_Cgraphite_mp-48,mp-48,P6_3/mmc,4,-9.225231,-9.944113335,-11.538683333333331,1.219475,0.0,0.0,718.882335
Ca,extension_Ca_mp-21,mp-21,Im-3m,1,-1.9092798,-7.03267766,-0.0304275,0.00253,0.0659248206,3.2205579189057167,5123.39786
Cd,extension_Cd_mp-94,mp-94,P6_3/mmc,2,-0.7327359,-20.10498769,-1.6119283333333332,0.2423261111111111,0.0,0.0,19372.25179
Cl,extension_Cl_mp-22848,mp-22848,Cmce,4,-1.83117455,-1.84853666,-5.57283,0.92543,0.0767585757499999,0.4555134754613969,17.362109999999873
