compound_id,mp_id,formula,bond_type,family,theoretical,energy_above_hull_eV_at,n_sites,sg_number,spacegroup_symbol,icohp_percolation_weight_min,icohp_percolation_weight_min_normalized,icohp_percolation_direction,icohp_sum,icohp_mean,icohp_min,icohp_max,icobi_percolation_weight_min,icobi_sum,icobi_mean,icobi_min,icobi_max,vasp_wall_time_s,lobster_wall_time_s
exp_metastable_AgO_mp-1079720,mp-1079720,AgO,,exp_metastable,False,0.04234811749999956,8,14,P2_1/c,4e-05,1.0633999021672091e-05,c,-67.4211399999999,-0.21889980519480484,-3.76152,0.00069,0.00119,9.715780000000002,0.031544740259740266,0.00046,0.46989,123.56,711.16
exp_metastable_Al12W_mp-11227,mp-11227,Al12W,metallic,exp_metastable,False,0.01520368538461625,13,204,Im-3,0.01374,0.004982394813087671,a,-128.62916000000007,-0.37610865497076046,-2.75771,0.00433,0.008879999999999999,23.23949,0.06795172514619884,0.00222,0.50371,1.0,
exp_metastable_Al3Os2_mp-16521,mp-16521,Al3Os2,metallic,exp_metastable,False,0.007409683000005884,5,139,I4/mmm,0.00623,0.0033312123367144515,b,-58.91713000000003,-0.34657135294117664,-1.87019,-0.00301,0.0019399999999999999,11.291610000000007,0.0664212352941177,0.00094,0.33792,48.46,130.35
exp_metastable_AsPd2_mp-1080831,mp-1080831,AsPd2,,exp_metastable,False,0.011756747500001552,9,189,P-62m,0.00035000000000000005,0.00010149958385170622,a,-99.99055000000007,-0.34361013745704494,-3.44829,0.00723,0.00426,15.353000000000002,0.052759450171821314,0.00153,0.4557,112.36,431.16
exp_metastable_AsRh2_mp-1102364,mp-1102364,AsRh2,,exp_metastable,False,0.08062063166666178,12,62,Pnma,0.00463,0.0020131047466662028,a,-82.21613,-0.21189724226804124,-2.29993,-0.00394,0.00624,19.11821,0.049273737113402064,0.00308,0.38891,124.17,651.48
exp_metastable_AsRh_mp-22079,mp-22079,AsRh,,exp_metastable,False,0.026917590833335225,8,62,Pnma,0.00193,0.0008130732060782489,b,-59.496690000000015,-0.2399060080645162,-2.37371,-0.00138,0.00184,12.93703999999999,0.052165483870967706,0.00139,0.40823,92.9,258.52
exp_metastable_BaSn5_mp-571353,mp-571353,BaSn5,metallic,exp_metastable,False,0.026217794166670583,6,191,P6/mmm,0.00458,0.0021300046971719304,a,-29.39432999999999,-0.34993249999999987,-2.15023,0.00063,0.0097,7.521639999999998,0.08954333333333331,0.0097,0.61284,94.66,107.93
exp_metastable_Be12Pd_mp-12666,mp-12666,Be12Pd,metallic,exp_metastable,False,0.07945158115384565,13,139,I4/mmm,5e-05,1.938593124197907e-05,a,-150.08709000000002,-0.1969646850393701,-2.57919,0.07072,0.00044,18.331069999999965,0.02405652230971124,0.00044,0.2595,226.85,992.01
exp_metastable_Be3N2_mp-6977,mp-6977,Be3N2,,exp_metastable,False,0.03151386449999993,10,194,P6_3/mmc,2e-05,3.37936021952324e-06,a,-148.3104200000001,-0.18400796526054605,-5.91828,0.08193,4e-05,15.100989999999994,0.01873571960297766,2e-05,0.57318,79.98,613.57
exp_metastable_CaGa2_mp-992,mp-992,CaGa2,metallic,exp_metastable,False,0.016981658333333982,3,191,P6/mmm,0.01661,0.004262996879106439,c,-16.435129999999997,-0.2739188333333333,-3.89632,-0.00903,0.00064,3.8661400000000006,0.06443566666666668,0.00064,0.9809,38.65,69.66
