bond_type_group,formula,compound_id,mp_id,spacegroup_symbol,theoretical,antibond_w_raw,pct_vs_ground_state_icohp,delta_icohp_antibond,icobi_antibond_w_raw,pct_vs_ground_state_icobi,delta_icobi_antibond,dH_eV_at
ionic,BaCl2,exp_stable_BaCl2_mp-568662,mp-568662,Fm-3m,False,0.0341930653,0.0,0.0675454180666665,0.0001031236,0.0,0.0012039112499999,0.0
ionic,BaCl2,extension_BaCl2_exp_mp-23199,mp-23199,Pnma,False,0.03501535525,2.4048442068164015,0.0667231281166665,3.004035e-05,-70.86956816868302,0.0012769945,0.0067857724999997
ionic,BaO,extension_BaO_exp_mp-1008500,mp-1008500,P6_3/mmc,False,0.02902731875,0.0,0.0618283617249999,3.729470000000001e-05,0.0,0.0040706967,0.0
ionic,BaO,extension_BaO_theo_mp-1950989,mp-1950989,P6_3/mmc,True,0.0275362573,-5.136752253426786,0.0633194231749999,0.0,-100.0,0.0041079914,0.024547680000001303
ionic,Be3N2,extension_Be3N2_exp_mp-18337,mp-18337,Ia-3,False,0.0,,,0.0,,,0.0
ionic,Be3N2,exp_metastable_Be3N2_mp-6977,mp-6977,P6_3/mmc,False,0.0,,,0.0,,,0.0315138644999999
ionic,Be3N2,extension_Be3N2_theo_mp-1017550,mp-1017550,P-3m1,True,0.0,,,0.0,,,0.2080862134999996
ionic,BeO,extension_BeO_theo_mp-1778,mp-1778,F-43m,True,0.0,,0.015006531175,0.0,,0.002156199625,0.0
ionic,BeO,extension_BeO_exp_mp-7599,mp-7599,P4_2/mnm,False,0.0,,0.015006531175,0.0,,0.002156199625,0.008372963750000201
ionic,Ca3N2,extension_Ca3N2_mp-844,mp-844,Ia-3,False,0.00859659385,0.0,,0.0,,,0.0
ionic,Ca3N2,extension_Ca3N2_exp_mp-1047,mp-1047,R-3c,False,0.0100647692,17.07857060154121,,0.0,,,0.0166976637499995
ionic,CaCl2,extension_CaCl2_exp_mp-23214,mp-23214,Pnnm,False,0.0223021858,0.0,0.0508451382333332,1.3016600000000002e-05,0.0,0.0019300755666666,0.0
ionic,CaCl2,extension_CaCl2_theo_mp-1120739,mp-1120739,Fm-3m,True,0.0217945015999999,-2.2763876355119312,0.0513528224333333,6.683245e-05,413.44014566015704,0.0018762597166666,0.041040220000001106
ionic,CaF2,extension_CaF2_exp_mp-10464,mp-10464,Pnma,False,0.0136761026499999,0.0,0.0356604643500001,0.0,,0.0019372518333333,0.0
ionic,CaF2,extension_CaF2_theo_mp-554355,mp-554355,P4/mmm,True,0.0077326847,-43.4584186891866,0.0416038823,0.0,,0.0019372518333333,0.205609758333333
ionic,CaO,extension_CaO_mp-2605,mp-2605,Fm-3m,False,0.00540399475,0.0,0.042564946725,0.0,,0.005062077375,0.0
ionic,CaO,extension_CaO_exp_mp-1079707,mp-1079707,Cmce,False,0.0178321072,229.98009851878555,0.030136834275,0.0,,0.005062077375,0.2097698550000002
ionic,K2S,extension_K2S_exp_mp-1022,mp-1022,Fm-3m,False,0.0,,0.0155490560333333,0.0,,0.0014301210666666,0.0
ionic,K2S,exp_metastable_K2S_mp-559278,mp-559278,P6_3/mmc,False,0.0012457974,,0.0143032586333333,1.8271950000000007e-05,,0.0014118491166666,0.0872531616666663
ionic,KF3,extension_KF3_theo_mp-2749823,mp-2749823,P2_1,True,0.023331442,0.0,0.0093144122999999,0.00279366175,0.0,-0.0022573663499999,0.0
ionic,KF3,extension_KF3_exp_mp-1544557,mp-1544557,P2_12_12_1,False,0.0238090426,2.047025640335472,0.0088368116999999,0.0028647540999999,2.544773002669353,-0.0023284586999999,0.0005630299999995012
ionic,Li2O,extension_Li2O_exp_mp-1960,mp-1960,Fm-3m,False,0.0,,0.0100043541166666,0.0,,0.0014374664166666,0.0
ionic,Li2O,extension_Li2O_theo_mp-755894,mp-755894,Pnma,True,0.0,,0.0100043541166666,0.0,,0.0014374664166666,0.0843597108333336
ionic,Li2S,extension_Li2S_exp_mp-1125,mp-1125,Pnma,False,0.0,,0.0105783249666666,0.0,,0.0,0.0
ionic,Li2S,extension_Li2S_theo_mp-557142,mp-557142,P6_3/mmc,True,0.0,,0.0105783249666666,0.0,,0.0,0.113454041666667
ionic,LiCl,extension_LiCl_theo_mp-1185319,mp-1185319,P6_3mc,True,0.0,,0.0383792878749999,0.0,,4.380250000000002e-06,0.0
ionic,LiCl,extension_LiCl_exp_mp-22905,mp-22905,Fm-3m,False,0.0,,0.0383792878749999,0.0,,4.380250000000002e-06,0.020461882500000198
ionic,LiF,extension_LiF_exp_mp-1138,mp-1138,Fm-3m,False,1.80243e-05,0.0,0.0205031958,0.0,,0.0,0.0
ionic,LiF,extension_LiF_theo_mp-1009009,mp-1009009,Pm-3m,True,0.00284329905,15674.809840049267,0.01767792105,0.0,,0.0,0.2875420599999998
ionic,MgCl2,extension_MgCl2_exp_mp-23210,mp-23210,R-3m,False,0.0270557326999999,0.0,0.0246106966333333,1.32659e-05,0.0,-7.425566666666664e-06,0.0
ionic,MgCl2,exp_metastable_MgCl2_mp-570259,mp-570259,P-3m1,False,0.0280093086,3.52448743700112,0.0236571207333332,4.230230000000002e-05,218.87998552680193,-3.646196666666668e-05,0.0006391266666669
ionic,MgCl2,extension_MgCl2_theo_mp-569626,mp-569626,Ama2,True,0.0175356063,-35.18709511792278,0.0341308230333332,1.7523e-06,-86.79094520537619,4.088033333333336e-06,0.1991308233333337
ionic,MgF2,extension_MgF2_exp_mp-1072956,mp-1072956,Pnnm,False,0.0064615737,0.0,0.0213940985999999,0.0,,0.0,0.0
ionic,MgF2,theo_metastable_MgF2_mp-560236,mp-560236,C2/m,True,0.0056891086,-11.954751827716514,0.0221665636999999,0.0,,0.0,0.1051660133333341
ionic,MgF2,extension_MgF2_theo_mp-1062842,mp-1062842,Amm2,True,0.00673388485,4.2143162431158245,0.0211217874499999,0.0,,0.0,0.2611761100000001
ionic,MgO,extension_MgO_exp_mp-549706,mp-549706,P6_3mc,False,0.0044818324,0.0,0.0112657670249999,0.0,,0.002156199625,0.0
ionic,MgO,extension_MgO_theo_mp-1009127,mp-1009127,Pm-3m,True,0.0111574440999999,148.94826723105263,0.004590155325,0.0,,0.002156199625,0.6303959125000009
ionic,MgS,extension_MgS_exp_mp-1315,mp-1315,Fm-3m,False,0.01792976645,0.0,-0.00132121075,0.0,,0.0,0.0
ionic,MgS,extension_MgS_theo_mp-13032,mp-13032,F-43m,True,0.01650789175,-7.930246631851688,0.0001006639499999,0.0,,0.0,0.0343442349999998
ionic,Na2O,extension_Na2O_exp_mp-2352,mp-2352,Fm-3m,False,0.0,,0.0148824498166666,0.0,,0.0035643745833333,0.0
ionic,Na2O,extension_Na2O_theo_mp-1975297,mp-1975297,C2/m,True,1.877625e-05,,0.0148636735666666,0.0,,0.0035643745833333,0.0981246116666674
ionic,NaS,extension_NaS_exp_mp-409,mp-409,P-62m,False,0.0161731236,0.0,0.003352935625,0.0,,0.001595181125,0.0
ionic,NaS,extension_NaS_theo_mp-1180106,mp-1180106,C2/m,True,0.0,-100.0,0.019526059225,0.0,,0.001595181125,1.00377853125
ionic,PbSe,exp_stable_PbSe_mp-2201,mp-2201,Fm-3m,False,0.0208756436,0.0,-0.002590031025,0.0002412968,0.0,-0.0002412968,0.0
ionic,PbSe,exp_metastable_PbSe_mp-22009,mp-22009,Fmm2,False,0.0246552428999999,18.105306702974648,-0.0063696303249999,0.0,-100.0,0.0,0.0731088299999953
ionic,Rb2O,extension_Rb2O_exp_mp-1394,mp-1394,Fm-3m,False,0.0064349174,0.0,0.0101622282499999,0.0,,0.0024093500166666,0.0
ionic,Rb2O,extension_Rb2O_theo_mp-2023482,mp-2023482,P-3m1,True,0.0117725223,82.94752781131268,0.00482462335,0.0,,0.0024093500166666,0.044683842222220396
ionic,RbF,extension_RbF_theo_mp-11718,mp-11718,Fm-3m,True,0.00636196025,0.0,0.0191038535,0.0,,0.0007289127,0.0
ionic,RbF,extension_RbF_exp_mp-2064,mp-2064,Pm-3m,False,0.00635152185,-0.164075215653853,0.0191142919,3.879860000000002e-05,,0.0006901141,0.051583325000001
ionic,SiO2,extension_SiO2_anchor_mp-9258,mp-9258,Pa-3,False,0.0056542875999999,0.0,0.0143554218333334,0.0,,0.0028749328333333,0.0
ionic,SiO2,extension_SiO2_poly_mp-10064,mp-10064,Fm-3m,True,0.00324804195,-42.556124134894425,0.0167616674833333,0.0,,0.0028749328333333,0.7008995075
ionic,SrF2,extension_SrF2_theo_mp-1102911,mp-1102911,Pnma,True,0.01535342165,0.0,0.0405225609166666,0.0,,0.0016992140166666,0.0
ionic,SrF2,extension_SrF2_exp_mp-1102240,mp-1102240,Pnma,False,0.0161555253,5.22426640969637,0.0397204572666666,0.0,,0.0016992140166666,0.037913621666667195
covalent,As4S3,extension_As4S3_mp-27543,mp-27543,Pnma,False,0.00585430345,0.0,0.0091834983357142,0.0,,0.0,0.0
covalent,As4S3,extension_As4S3_mp-557321,mp-557321,Pnma,False,0.00428030305,-26.886211373276186,0.0107574987357142,0.0,,0.0,0.0004847885714288
covalent,Be3P2,extension_Be3P2_exp_mp-567841,mp-567841,Ia-3,False,0.0,,0.00360401198,0.0,,0.0,0.0
covalent,Be3P2,extension_Be3P2_mp-1084771,mp-1084771,Pn-3m,True,0.0,,0.00360401198,7.510349999999999e-06,,-7.510349999999999e-06,0.1567252367499998
covalent,BeCl2,extension_BeCl2_exp_mp-23267,mp-23267,Ibam,False,0.00086134215,0.0,0.0503110416833332,0.0,,5.840333333333336e-06,0.0
covalent,BeCl2,theo_metastable_BeCl2_mp-1190080,mp-1190080,I-43m,True,0.0012925653,50.064094738658724,0.0498798185333332,0.0,,5.840333333333336e-06,0.0099969172222218
covalent,C,metastable_covalent_C_rhombohedral_mp-169,mp-169,R-3m,False,0.0,,,0.0,,,0.0
covalent,C,extension_Cdiamond_mp-66,mp-66,Fd-3m,False,0.0,,,0.0,,,0.1114742750000009
covalent,C,extension_Clonsdaleite_mp-47,mp-47,P6_3/mmc,False,8.2602e-06,,,0.0,,,0.13868659250000098
covalent,C,extension_CWcarbon_mp-1190171,mp-1190171,Pnma,True,0.0,,,0.0,,,0.2918794818749984
covalent,C,extension_CMcarbon_mp-1080826,mp-1080826,C2/m,True,0.0,,,0.0,,,0.3001248749999981
covalent,C3N4,extension_C3N4_mp-971683,mp-971683,P3_1,True,0.00338797325,0.0,,0.0,,,0.0
covalent,C3N4,extension_C3N4_mp-570572,mp-570572,R3m,False,0.0048310071,42.59283481650864,,0.0,,,0.02559116285714319
covalent,C3N4,extension_C3N4_mp-567885,mp-567885,P-6m2,True,0.00538545195,58.9579241807768,,0.0,,,0.02587962571428551
covalent,C3N4,extension_C3N4_anchor_mp-571653,mp-571653,P-43m,False,0.00319699055,-5.637078155797138,,0.0,,,0.37644170285714296
covalent,C3N4,extension_C3N4_poly_mp-2852,mp-2852,I-43d,True,0.0023476546,-30.706223846365972,,0.0,,,0.3816659721428568
covalent,C3N4,extension_C3N4_poly_mp-1182484,mp-1182484,P6_3/m,True,0.0,-100.0,,0.0,,,0.4631399657142854
covalent,C3N4,extension_C3N4_poly_mp-563,mp-563,Fd-3m,True,0.001774219,-47.631847447437785,,0.0,,,1.3902031092857146
covalent,TiO2,extension_TiO2II_mp-1439,mp-1439,Pbcn,False,0.0013103879,0.0,0.0186983203333333,0.0,,0.0028749328333333,0.0
