compound_id,mp_id,formula,family,bond_type,is_metal,theoretical,energy_above_hull_eV_per_atom,delta_per_formula_unit_eV,delta_per_atom_eV,delta_per_bond_eV
exp_metastable_AgO_mp-1079720,mp-1079720,AgO,exp_metastable,ionic,False,False,0.04234811749999956,-9.323838750000025,-4.6619193750000125,-0.03871250063043791
exp_metastable_Al12W_mp-11227,mp-11227,Al12W,exp_metastable,metallic,True,False,0.01520368538461625,-128.95169999999985,-9.919361538461526,0.011263244205888034
exp_metastable_Al3Os2_mp-16521,mp-16521,Al3Os2,exp_metastable,metallic,True,False,0.007409683000005884,-21.395009999999957,-4.279001999999991,0.03407549495301099
exp_metastable_AsPd2_mp-1080831,mp-1080831,AsPd2,exp_metastable,metallic,True,False,0.011756747500001552,-8.214031666666642,-2.7380105555555474,0.05862686642900744
exp_metastable_AsRh2_mp-1102364,mp-1102364,AsRh2,exp_metastable,metallic,True,False,0.08062063166666178,-6.724782500000007,-2.241594166666669,-0.0064252810964449125
exp_metastable_AsRh_mp-22079,mp-22079,AsRh,exp_metastable,metallic,True,False,0.026917590833335225,-2.0056025000000055,-1.0028012500000028,0.012893633064515991
exp_metastable_BaSn5_mp-571353,mp-571353,BaSn5,exp_metastable,metallic,True,False,0.026217794166670583,-23.87221999999999,-3.978703333333332,0.06861355263157887
exp_metastable_Be12Pd_mp-12666,mp-12666,Be12Pd,exp_metastable,metallic,True,False,0.07945158115384565,-27.530620000000056,-2.1177400000000044,0.0340435310027182
exp_metastable_Be3N2_mp-6977,mp-6977,Be3N2,exp_metastable,ionic,False,False,0.03151386449999993,11.135447500000026,2.2270895000000053,0.0003728198242370362
exp_metastable_CaGa2_mp-992,mp-992,CaGa2,exp_metastable,metallic,True,False,0.016981658333333982,-3.033245000000001,-1.0110816666666669,-0.1150386414141415
exp_metastable_CaGa4_mp-2461,mp-2461,CaGa4,exp_metastable,metallic,True,False,0.0016006820000011857,-5.385349999999988,-1.0770699999999978,-0.09728080983716791
exp_metastable_CdI2_mp-567259,mp-567259,CdI2,exp_metastable,ionic,False,False,0.0005410511111105798,-0.6790100000000052,-0.2263366666666684,0.21379158333333315
