compound_id,structure_file,n_sites,n_bonds_icohp,n_bonds_icobi,error,warnings,icohp_n_bonds_used,icohp_coord_bound,icohp_percolation_weight_min,icohp_percolation_direction,icohp_percolation_weight_a,icohp_percolation_status_a,icohp_percolation_weight_b,icohp_percolation_status_b,icohp_percolation_weight_c,icohp_percolation_status_c,icohp_sum,icohp_mean,icohp_min,icohp_max,icobi_n_bonds_used,icobi_coord_bound,icobi_percolation_weight_min,icobi_percolation_direction,icobi_percolation_weight_a,icobi_percolation_status_a,icobi_percolation_weight_b,icobi_percolation_status_b,icobi_percolation_weight_c,icobi_percolation_status_c,icobi_sum,icobi_mean,icobi_min,icobi_max
exp_metastable_AgO_mp-1079720,mp_dataset/structures/exp_metastable_AgO_mp-1079720/CONTCAR,8,308,308,,,308,5,4e-05,c,0.0004,ok,0.00047,ok,4e-05,ok,-67.4211399999999,-0.21889980519480484,-3.76152,0.00069,308,5,0.00119,c,0.0013,ok,0.0017599999999999998,ok,0.00119,ok,9.715780000000002,0.031544740259740266,0.00046,0.46989
exp_metastable_Al12W_mp-11227,mp_dataset/structures/exp_metastable_Al12W_mp-11227/CONTCAR,13,342,342,,,342,3,0.01374,a,0.01374,ok,0.014159999999999999,ok,0.01402,ok,-128.62916000000007,-0.37610865497076046,-2.75771,0.00433,342,3,0.008879999999999999,b,0.0089,ok,0.008879999999999999,ok,0.0089,ok,23.23949,0.06795172514619884,0.00222,0.50371
exp_metastable_Al3Os2_mp-16521,mp_dataset/structures/exp_metastable_Al3Os2_mp-16521/CONTCAR,5,170,170,,,170,5,0.00623,b,0.00773,ok,0.00623,ok,0.04488,ok,-58.91713000000003,-0.34657135294117664,-1.87019,-0.00301,170,5,0.0019399999999999999,b,0.00204,ok,0.0019399999999999999,ok,0.00745,ok,11.291610000000007,0.0664212352941177,0.00094,0.33792
exp_metastable_AsPd2_mp-1080831,mp_dataset/structures/exp_metastable_AsPd2_mp-1080831/CONTCAR,9,291,291,,,291,5,0.00035000000000000005,a,0.00035000000000000005,ok,0.00121,ok,0.00101,ok,-99.99055000000007,-0.34361013745704494,-3.44829,0.00723,291,5,0.00426,b,0.00506,ok,0.00426,ok,0.00437,ok,15.353000000000002,0.052759450171821314,0.00153,0.4557
exp_metastable_AsRh2_mp-1102364,mp_dataset/structures/exp_metastable_AsRh2_mp-1102364/CONTCAR,12,388,388,,,388,3,0.00463,a,0.00463,ok,0.00934,ok,0.01315,ok,-82.21613,-0.21189724226804124,-2.29993,-0.00394,388,3,0.00624,a,0.00624,ok,0.00675,ok,0.00958,ok,19.11821,0.049273737113402064,0.00308,0.38891
exp_metastable_AsRh_mp-22079,mp_dataset/structures/exp_metastable_AsRh_mp-22079/CONTCAR,8,248,248,,,248,5,0.00193,b,0.008469999999999998,ok,0.00193,ok,0.00988,ok,-59.496690000000015,-0.2399060080645162,-2.37371,-0.00138,248,5,0.00184,b,0.00279,ok,0.00184,ok,0.00773,ok,12.93703999999999,0.052165483870967706,0.00139,0.40823
exp_metastable_BaSn5_mp-571353,mp_dataset/structures/exp_metastable_BaSn5_mp-571353/CONTCAR,6,84,84,,,84,3,0.00458,a,0.00458,ok,0.005979999999999999,ok,0.02514,ok,-29.39432999999999,-0.34993249999999987,-2.15023,0.00063,84,3,0.0097,a,0.0097,ok,0.0097,ok,0.02268,ok,7.521639999999998,0.08954333333333331,0.0097,0.61284
exp_metastable_Be12Pd_mp-12666,mp_dataset/structures/exp_metastable_Be12Pd_mp-12666/CONTCAR,13,762,762,,,762,5,5e-05,a,5e-05,ok,5e-05,ok,0.00016999999999999999,ok,-150.08709000000002,-0.1969646850393701,-2.57919,0.07072,762,5,0.00044,c,0.00046,ok,0.00046,ok,0.00044,ok,18.331069999999965,0.02405652230971124,0.00044,0.2595
exp_metastable_Be3N2_mp-6977,mp_dataset/structures/exp_metastable_Be3N2_mp-6977/CONTCAR,10,806,806,,,806,7,2e-05,a,2e-05,ok,3e-05,ok,0.00025,ok,-148.3104200000001,-0.18400796526054605,-5.91828,0.08193,806,7,4e-05,a,4e-05,ok,4e-05,ok,8e-05,ok,15.100989999999994,0.01873571960297766,2e-05,0.57318
exp_metastable_CaGa2_mp-992,mp_dataset/structures/exp_metastable_CaGa2_mp-992/CONTCAR,3,60,60,,,60,5,0.01661,c,0.01959,ok,0.01895,ok,0.01661,ok,-16.435129999999997,-0.2739188333333333,-3.89632,-0.00903,60,5,0.00064,c,0.00526,ok,0.00526,ok,0.00064,ok,3.8661400000000006,0.06443566666666668,0.00064,0.9809
exp_metastable_CaGa4_mp-2461,mp_dataset/structures/exp_metastable_CaGa4_mp-2461/CONTCAR,5,109,109,,,109,5,0.019139999999999997,a,0.019139999999999997,ok,0.01928,ok,0.020499999999999997,ok,-33.26476000000001,-0.3051812844036698,-4.07041,0.00108,109,5,0.0037,a,0.0037,ok,0.0037,ok,0.00442,ok,7.04159,0.06460174311926606,0.00139,0.84476
exp_metastable_CdI2_mp-567259,mp_dataset/structures/exp_metastable_CdI2_mp-567259/CONTCAR,3,36,36,,,36,5,0.02384,b,0.02395,ok,0.02384,ok,0.06215,ok,-17.25635999999999,-0.47934333333333307,-2.50827,-0.01185,36,5,0.00452,a,0.00452,ok,0.00452,ok,0.012609999999999998,ok,3.64378,0.10121611111111112,0.00225,0.48649
exp_metastable_CdO2_mp-2310,mp_dataset/structures/exp_metastable_CdO2_mp-2310/CONTCAR,12,440,440,,,440,3,9e-05,a,9e-05,ok,9e-05,ok,0.0001,ok,-98.67521000000026,-0.22426184090909151,-7.16831,0.00216,440,3,9e-05,a,9e-05,ok,9e-05,ok,9e-05,ok,13.250850000000021,0.03011556818181823,9e-05,0.9738
exp_metastable_ClF3_mp-556767,mp_dataset/structures/exp_metastable_ClF3_mp-556767/CONTCAR,16,500,500,,,500,3,0.0,c,1e-05,ok,1e-05,ok,0.0,ok,-65.33380000000021,-0.1306676000000004,-6.86126,0.03266,500,3,0.0,c,1e-05,ok,1e-05,ok,0.0,ok,9.223119999999959,0.01844623999999992,0.0,0.76701
exp_metastable_Cs2Se_mp-1011696,mp_dataset/structures/exp_metastable_Cs2Se_mp-1011696/CONTCAR,12,120,120,,,120,3,0.0262,a,0.0262,ok,0.05116,ok,0.10127,ok,-34.07225000000002,-0.28393541666666683,-0.85922,-0.02499,120,3,0.00634,a,0.00634,ok,0.0064,ok,0.04171,ok,5.189279999999998,0.043243999999999984,0.0032,0.10205
exp_metastable_CsH_mp-632319,mp_dataset/structures/exp_metastable_CsH_mp-632319/CONTCAR,2,44,44,,,44,3,0.02662,a,0.02662,ok,0.02662,ok,0.02662,ok,-9.796919999999993,-0.22265727272727256,-1.23173,-0.00549,44,3,0.01404,a,0.01404,ok,0.01404,ok,0.01404,ok,1.1167200000000013,0.025380000000000028,0.00225,0.09369
exp_metastable_Cu3Ge_mp-19724,mp_dataset/structures/exp_metastable_Cu3Ge_mp-19724/CONTCAR,8,296,296,,,296,5,0.00053,b,0.0015,ok,0.00053,ok,0.00142,ok,-32.029270000000004,-0.10820699324324326,-1.01279,0.00326,296,5,0.00072,b,0.00235,ok,0.00072,ok,0.00353,ok,6.6215400000000075,0.022370067567567594,0.00036,0.17605
exp_metastable_FeTe2_mp-1102002,mp_dataset/structures/exp_metastable_FeTe2_mp-1102002/CONTCAR,12,288,288,,,288,3,0.00052,a,0.00052,ok,0.00053,ok,0.00052,ok,-63.91213,-0.22191711805555556,-2.09532,0.00028,288,3,0.0006900000000000001,b,0.0007,ok,0.0006900000000000001,ok,0.0006900000000000001,ok,18.050179999999997,0.0626742361111111,0.00034,0.48885
